AGWMMA	42.08391	-72.68735
AHBGON	42.11013	-83.10812
AHMLHI	19.91178	-155.88698
AHSKNC	36.29325	-76.98170
AHVLAL	33.83750	-86.25313
AHVLNC	35.59556	-82.55799
AHVLOH	39.71846	-82.95282
AIEAHI	22.03782	-159.90385
AIKNSC	33.56442	-81.72142
AIRBNC	36.49984	-81.12461
AIRCTN	35.50838	-85.28413
AIRDTN	35.37193	-85.38948
AIRPTN	35.67845	-85.77434
AIVLGA	34.37615	-84.93615
AIVLKY	36.66906	-86.84898
AJO AZ	32.38925	-112.87225
AKCKAK	60.91499	-161.43571
AKHKAK	56.95090	-154.16397
AKIKAK	60.91442	-161.21579
AKLKBC	51.78485	-122.24703
AKLKNT	68.22425	-134.99876
AKPSAK	68.14367	-151.73007
AKRNCO	40.15979	-103.21285
AKRNIA	42.82669	-96.55964
AKRNIN	41.04414	-86.02473
AKRNNY	43.02047	-78.49947
AKRNOH	41.08136	-81.52034
AKRNPA	40.15884	-76.20385
AKTNAK	54.13886	-165.77087
AKUKAK	62.68352	-164.64821
AKVKPQ	60.80839	-78.17217
ALAMGA	32.14719	-82.77639
ALAMND	48.58132	-103.47458
ALAMNV	37.36425	-115.16372
ALAMTN	35.78278	-89.11916
ALANSK	51.89387	-106.05812
ALBABC	50.59018	-126.92397
ALBAMI	44.97384	-84.96421
ALBAON	45.35416	-78.99511
ALBATX	32.79215	-95.62414
ALBGVT	44.97378	-73.28887
ALBIIA	41.02614	-92.80581
ALBLPQ	48.88371	-72.44299
ALBMNC	35.35335	-80.19938
ALBNIA	42.11900	-92.98323
ALBNID	42.40898	-113.58019
ALBNIL	38.37842	-88.05672
ALBNIN	41.39555	-85.43462
ALBNME	44.53452	-69.44110
ALBNMI	42.24451	-84.75748
ALBNNE	41.69186	-98.00153
ALBNNY	43.24791	-78.19212
ALBNOK	34.66784	-95.09847
ALBNPA	41.89163	-80.36513
ALBNWY	41.41662	-104.09809
ALBOMN	46.97487	-92.56894
ALBQNM	35.08825	-106.65213
ALBRAL	32.23157	-87.41213
ALBRIA	42.14727	-91.61827
ALBRIL	38.53714	-89.61231
ALBRNB	45.74464	-64.74027
ALBRNM	35.18169	-106.58402
ALBRVA	36.86125	-77.88177
ALBSAL	33.23412	-86.82150
ALBSNM	35.12385	-106.61743
ALBYCA	37.89113	-122.28460
ALBYGA	31.57881	-84.18995
ALBYIL	41.78712	-90.22312
ALBYIN	40.29853	-85.24591
ALBYKY	36.69448	-85.13513
ALBYLA	30.50139	-90.58068
ALBYMN	45.63048	-94.57223
ALBYMO	40.24783	-94.34179
ALBYNY	42.64965	-73.75260
ALBYOH	39.22859	-82.20579
ALBYOR	44.63807	-123.10265
ALBYTX	32.72722	-99.29474
ALBYWI	42.70659	-89.44069
ALCHFL	29.79006	-82.49571
ALCKBC	52.07488	-123.26965
ALCKWV	38.29032	-81.81146
ALCOAR	35.86779	-92.31761
ALCRTN	35.79070	-85.61481
ALCSSD	43.02023	-96.62128
ALCTWI	44.43513	-90.91109
ALCYAL	32.94418	-85.95375
ALCYIA	42.78287	-94.94776
ALDLIL	38.53034	-87.70811
ALDLMI	42.97263	-85.94744
ALDLMO	40.48199	-94.28675
ALDLSC	33.00986	-81.30572
ALDNIA	42.51736	-93.37884
ALDNKS	38.24327	-98.30855
ALDNMI	44.88114	-85.27453
ALDNMN	43.67411	-93.57610
ALDNNY	42.89901	-78.49634
ALDRMO	37.55121	-93.56035
ALDRWV	37.72501	-80.64066
ALDVNB	47.47195	-65.49237
ALEDIL	41.19929	-90.73397
ALEXOK	34.91784	-97.77745
ALEXTN	35.32642	-87.30972
ALFAFL	27.85040	-82.37309
ALFAPA	40.66690	-77.45794
ALFENY	42.25510	-77.79035
ALFEON	45.44804	-75.52556
ALFLOK	35.21997	-98.60943
ALFRFL	30.69584	-85.39188
ALFRNS	45.03358	-64.83886
ALGDNC	35.61061	-76.85833
ALGDTN	36.18112	-85.40371
ALGHCA	39.46946	-120.84466
ALGMWI	44.61042	-87.43976
ALGNIA	43.07073	-94.23754
ALGNIL	42.17150	-88.30257
ALGNMI	42.62014	-82.52895
ALGRMI	44.12686	-84.11911
ALGROH	40.70804	-83.84411
ALGRWA	48.59139	-122.32296
ALHBCA	34.09445	-118.12779
ALHBIL	38.88958	-89.72955
ALICND	46.76164	-97.55023
ALICTX	27.74959	-98.08106
ALIDSK	49.22244	-102.17410
ALINOK	36.51066	-98.45070
ALITAK	56.90610	-154.24471
ALIXAB	52.39859	-113.18845
ALKTAK	66.56916	-152.63985
ALLEMN	43.64795	-93.36821
ALLGMI	42.52779	-85.85282
ALLNKS	38.65159	-96.17518
ALLNKY	37.61149	-82.72588
ALLNMI	41.94504	-84.77787
ALLNNE	42.41630	-96.83853
ALLNOK	34.87778	-96.41123
ALLNTX	33.10111	-96.67576
ALLWOK	36.61033	-95.48869
ALLYWV	38.12681	-81.25434
ALMAAR	35.47952	-94.22215
ALMAGA	31.54241	-82.46517
ALMAKS	39.01437	-96.28969
ALMAMI	43.37835	-84.65706
ALMAMO	39.10061	-93.55286
ALMANB	45.60593	-64.93758
ALMANE	40.09833	-99.36229
ALMAPQ	48.54732	-71.65412
ALMAWI	44.31994	-91.91477
ALMDCA	37.76693	-122.24978
ALMDNY	42.32022	-77.73765
ALMDSK	49.22244	-102.17410
ALMDWI	44.25640	-89.40656
ALMEKS	39.89499	-99.70674
ALMEWI	45.41462	-92.03257
ALMGNM	32.91279	-105.94467
ALMLMN	45.49040	-92.78744
ALMOID	42.09293	-113.62479
ALMRWA	47.71095	-118.94113
ALMSCO	37.46945	-105.86395
ALMTIL	39.06485	-88.74793
ALMTKS	37.19110	-95.28961
ALMTMI	42.92133	-83.04491
ALMTNY	42.70007	-74.03330
ALMTON	45.19521	-76.22764
ALMTTX	30.18505	-104.03169
ALMTUT	40.36009	-110.29523
ALMYAR	34.40927	-91.41373
ALNAIA	41.64930	-93.46456
ALNAKS	37.52619	-95.66248
ALNAPA	40.53327	-78.37489
ALNCAB	52.43463	-111.78048
ALNCNE	42.08181	-102.86897
ALNCOH	40.91103	-81.10163
ALNDNC	36.22381	-77.11631
ALNSMB	50.79991	-98.98558
ALNSMI	45.44020	-84.77454
ALNTWI	43.42160	-88.33346
ALOHOR	45.48884	-122.87772
ALPEAR	36.29264	-93.29395
ALPEMI	45.06007	-83.44341
ALPESD	44.18310	-98.36859
ALPGCA	35.88819	-119.48538
ALPHGA	31.38268	-83.22495
ALPHIA	43.00050	-92.04759
ALPHIL	41.19168	-90.38010
ALPIAZ	33.84815	-109.13947
ALPICA	32.83963	-116.76375
ALPINJ	40.96138	-73.91975
ALPITX	30.35905	-103.66307
ALPIWY	43.16662	-111.01427
ALPKCO	40.19290	-105.52702
ALPNCA	40.16707	-123.62946
ALPRGA	34.09169	-84.27651
ALQPPA	40.60905	-80.25200
ALRGVA	36.96211	-80.44081
ALROAB	51.91570	-110.16865
ALSEOR	44.38118	-123.59379
ALSKSK	51.46658	-109.15287
ALSNAR	35.95153	-92.10811
ALSNCO	37.02413	-107.48315
ALSNIA	42.75266	-92.79635
ALSNTX	35.61629	-100.10718
ALSPFL	28.68373	-81.39560
ALSTNH	43.14701	-72.35980
ALTAIA	42.67433	-95.30287
ALTAMT	45.71995	-114.26701
ALTATN	35.46813	-85.65864
ALTAUT	40.59063	-111.64020
ALTHAR	34.31787	-91.84500
ALTNIA	42.98720	-96.01047
ALTNIL	38.90430	-90.14938
ALTNME	45.03832	-68.72875
ALTNMI	46.76899	-88.74900
ALTNMO	36.69226	-91.40026
ALTNMT	47.00164	-114.47840
ALTNNC	34.88111	-80.54555
ALTNNH	43.45649	-71.22195
ALTNPE	46.81339	-64.06915
ALTOIA	40.70554	-93.36532
ALTOMI	42.85560	-85.38383
ALTONM	33.39853	-105.67915
ALTOON	44.14812	-79.86739
ALTOTX	31.65086	-95.08522
ALTRCA	41.48420	-120.54327
ALTRFL	27.86958	-81.71458
ALTRMN	44.07306	-91.93893
ALTSAR	35.44913	-93.76090
ALTSOK	34.64234	-99.32736
ALTVIA	43.19982	-92.41854
ALTVKS	38.86531	-96.49506
ALTVVA	37.11067	-79.28918
ALTWMD	38.77583	-76.95620
ALTWNJ	40.17755	-74.58412
ALTWPA	40.63897	-75.44942
ALVAFL	26.70776	-81.61231
ALVAOK	36.80139	-98.66677
ALVDMN	48.19375	-96.99671
ALVDTX	32.40812	-97.21286
ALVJCA	33.56489	-117.72422
ALVLAL	34.26854	-86.21103
ALVLPA	40.53744	-77.81732
ALVNIL	40.31225	-87.60580
ALVNSK	52.51803	-106.02384
ALVNTX	29.41776	-95.24489
ALVRIA	43.33983	-96.30445
ALVRTX	33.35720	-97.69625
ALWDVA	37.66874	-79.21347
ALXNIA	42.80363	-93.47663
ALXNIL	39.72380	-90.04206
ALXNIN	40.26455	-85.67465
ALXNKY	38.96622	-84.38246
ALXNLA	31.25892	-92.45515
ALXNMB	49.83070	-100.29084
ALXNMN	45.85280	-95.39141
ALXNND	47.84361	-103.64317
ALXNNE	40.24971	-97.38992
ALXNOH	40.08795	-82.61400
ALXNON	45.31830	-74.63332
ALXNPA	40.55727	-78.09133
ALXNSD	43.65437	-97.77927
ALXNTX	32.05859	-98.20654
ALXNVA	38.82183	-77.16066
ALXSIL	41.06158	-90.55571
ALZDMT	45.02994	-104.41239
AMANIA	41.80127	-91.87054
AMBGKY	37.22796	-82.97945
AMBGWI	45.50253	-87.99063
AMBLAK	67.09030	-157.84779
AMBLMI	43.42918	-85.38508
AMBLPA	40.15451	-75.22282
AMBRIA	42.12083	-91.16880
AMBRND	48.95495	-103.48119
AMBRNY	42.89178	-76.29661
AMBRPA	40.59279	-80.22995
AMBUTN	36.10791	-84.59889
AMBYIL	41.71489	-89.33202
AMBYMN	43.88853	-94.15887
AMBYWA	45.95506	-122.41991
AMDAOH	39.64822	-82.74373
AMDNND	46.48296	-103.19489
